Thinking Process:

1.  **Analyze the Request:**
    *   **Goal:** Create a self-contained bash script for per-sample variant calling on mitochondrial DNA (chrM) using specific tools and input data structure.
    *   **Inputs:** `data/raw/` contains paired-end FASTQ files (`_1.fq.gz`, `_2.fq.gz`). `data/ref/` contains `chrM.fa`.
    *   **Outputs:** `results/{sample}.bam`, `.bai`, `{sample}.vcf.gz`, `.tbi`, and a collapsed table `collapsed.tsv`.
    *   **Constraints:**
        *   Shebang: `#!/usr/bin/env bash`
        *   Strict mode: `set -euo pipefail`
        *   Working Directory (cwd): Contains `data/raw/` and `data/ref/`. Outputs go to `results/`.
        *   Idempotent: Rerunning on populated `results/` must exit 0 without redoing work. This means checking for existence of output files before processing or using conditional logic based on file presence (e.g., `-f`). However, usually "idempotent" in this context implies skipping steps if outputs exist to avoid re-computation costs and errors.
        *   No hardcoded absolute paths outside cwd.
        *   Tools: `bwa`, `samtools`, `bcftools`, `tabix`, `lofreq` (likely for GATK-like filtering or just bcftools is preferred), `snpSift`, `snpEff`, etc., but the prompt says "Recommended tool sequence: bwa → samtools → lofreq → bcftools". Wait, looking at TOOL_INVENTORY, I see `lofreq` listed. However, standard practice with BWA/Samtools/Bcftools is usually just using GATK or similar for VCF generation if available, but here the inventory lists specific tools.
        *   Inventory Check: The prompt mentions "Recommended tool sequence: bwa → samtools → lofreq → bcftools". But `lofreq` (version 2.1.5) is often used with GATK or as a standalone variant caller? Actually, looking at the inventory again, it lists `bcftools`, not just `bwa`. The prompt says "Recommended tool sequence: bwa -> samtools -> lofreq -> bcftools". This implies using BWA for alignment, Samtools to sort/index BAMs (maybe), and then LoFreq or Bcftools for variant calling.
        *   Wait, the inventory lists `lofreq` version 2.1.5. But standard workflow is usually: Align (BWA) -> Sort/MarkDups (Samtools/GATK) -> Call Variants (GATK HaplotypeCaller or LoFreq). Since GATK isn't in the list, I should use `bcftools` for calling if possible, but the prompt explicitly mentions "lofreq" in the recommended sequence. However, `bwa mem`, `samtools sort/memview/index`, and then variant calling is usually done by a caller that outputs VCF.
        *   Actually, looking at standard pipelines with these tools: BWA-MEM aligns to BAM -> Samtools Sort/Index -> (Optional) MarkDuplicates/Filtering -> Variant Caller. Since GATK isn't there, `bcftools mpileup` is often used for calling if no specific caller like LoFreq or VarScan is preferred over standard bcftools call.
        *   Wait, the prompt says "Recommended tool sequence: bwa → samtools → lofreq → bcftools". This suggests using LoFreq to generate a VCF? Or maybe just use Bcftools for calling since it's in the inventory and often sufficient with mpileup/call. However, `lofreq` is listed as version 2.1.5 which *is* a variant caller (uses pileup). But usually, if I have to choose between LoFreq and Bcftools based on "Recommended", maybe use LoFreq? Or perhaps the prompt implies using these tools in that order for specific steps: Align -> Sort/Filter -> Call (LoFreq?) -> Refine (Bcftools?).
        *   Actually, `bcftools` is a very robust toolset. Often used with `mpileup`. But LoFreq is also listed. Let's look at the instruction again: "Recommended tool sequence: bwa → samtools → lofreq → bcftools". This might mean use BWA for alignment, Samtools to manage BAMs (sort/index), and then perhaps a variant caller that outputs VCF.
        *   Wait, `lofreq` is listed as version 2.1.5. It's an actual tool (`lfc`). But standard practice with these specific tools often involves using Bcftools for the final call if LoFreq isn't strictly required or to ensure compatibility. However, since it explicitly mentions "Recommended... lofreq", I should probably use `lofreq` (likely via its command line interface) OR just stick to a robust pipeline that uses available tools effectively.
        *   Actually, looking at common workflows with these specific versions: BWA-MEM is standard for alignment. Samtools sort/index is standard. For variant calling on mtDNA (small genome), `bcftools mpileup` + `call` or just using a simple caller like GATK isn't available. LoFreq 2.x usually requires input BAMs and outputs VCF/Bed files? Or does it output VCF directly?
        *   Let's check the constraint: "Do not invoke conda, pip...". I must use tools on PATH.
        *   The prompt says "Recommended tool sequence: bwa → samtools → lofreq → bcftools". This is slightly ambiguous for a script generation task unless it implies specific commands like `bwa mem`, `samtools sort`, and then maybe using LoFreq or Bcftools to call variants.
        *   However, since I need to produce VCFs from BAMs without GATK (which isn't listed), the most reliable way with these tools is often: Align -> Sort/MarkDup/Index -> Call Variants (using `bcftools mpileup` + `call` or similar). But LoFreq 2.1.5 exists in PATH.
        *   Let's assume "lofreq" here refers to the tool itself for calling, but since it might be complex to invoke correctly without specific flags compared to Bcftools (which is standard), I will prioritize `bcftools` for variant calling as it's more universally supported with these versions in a simple script context unless LoFreq has a very obvious command.
