Thinking Process:

1.  **Analyze the Request:**
    *   **Goal:** Create a self-contained bash script for per-sample variant calling on mitochondrial amplicon data.
    *   **Constraints:**
        *   First line: `#!/usr/bin/env bash`
        *   Second line: `set -euo pipefail`
        *   Working directory structure assumed: `data/raw/`, `data/ref/`. Outputs to `results/`.
        *   Idempotent: Rerunning on populated `results/` must exit 0 without redoing work.
        *   No hardcoded absolute paths (e.g., no `/home/anton`). Use relative paths from cwd.
        *   Tools available in PATH (`bwa`, `samtools`, `bcftools`, `tabix`, `lofreq`, etc.).
        *   Wall-clock < 600s at THREADS=4.
        *   No stderr/stdout prose (no `echo`).
        *   Specific tool usage instructions provided in the PLAN section.

2.  **Deconstruct the Plan:**
    *   **Globals:** `THREADS=4`, samples list (`M117-bl M117-ch M117C1-bl M117C1-ch`). Create `results/` if missing (but check idempotency logic carefully).
    *   **Reference Indexing:** Check existence of `.fai` and BWA index files. If exist, skip. Else run `samtools faidx` and `bwa index`.
    *   **Per-sample Alignment:** Use specific `-R` format with literal `\t`. Pipe to `samtools sort -@ 4`. Do NOT mark duplicates. Index BAM (`results/{sample}.bam.bai`).
    *   **Variant Calling:** Run `lofreq call-parallel --pp-threads 4 ...`. Output uncompressed VCF first (per instructions). Then compress with `bgzip` and index with `tabix`. Remove intermediate `.vcf`.
        *   Wait, the instruction says: "Compress with bgzip... producing results/{sample}.vcf.gz. Index... -> results/{sample}.vcf.gz.tbi. Remove the intermediate uncompressed .vcf." This implies I need to generate the VCF first (step 6), then compress it (step 7).
    *   **Collapse Step:** Check if `collapsed.tsv` exists and is newer than inputs? Or just rebuild if any input VCF is newer? The instruction says: "Rebuild only if any input VCF is newer than the TSV." Actually, usually idempotency means skip everything if outputs exist. But specifically for collapsed.tsv: "Prepend a single header line... Output is tab-separated... Rebuild only if any input VCF is newer than the TSV."
    *   **Idempotency Check:** The script must exit 0 on rerun without redoing work. This means I need to check existence of outputs before starting, or ensure conditional logic prevents re-running steps that are already done.

3.  **Specific Tool Usage Details & Constraints:**
    *   `-R` argument: Must be a single double-quoted string containing literal `\t`. `bwa mem -R "@RG\tID:{sample}\tSM:{sample}\tLB:{sample}\tPL:ILLUMINA"`. Note the instruction says "literal backslash and t". In bash, inside quotes `"..."`, `\t` is usually interpreted as a tab by some shells or not depending on quoting. However, `bwa mem` documentation often requires literal tabs in read group strings if passed via command line arguments to avoid interpretation issues? The prompt specifically warns: "Do NOT use printf... bwa rejects real tabs with 'the read group line contained literal <tab> characters'". Wait, usually BWA *likes* actual tab characters. But the instruction says `bwa` parses them itself and I must provide `\t`.
    *   Actually, looking closely at the prompt: "The \t must remain the two characters backslash and t — bwa parses them themselves." This is a specific constraint for this environment/tool version (0.7.18). Standard BWA usually accepts actual tabs or escaped sequences depending on how it's invoked. I will follow the instruction literally: use `\t` inside the quotes provided to `bwa mem`.
    *   Wait, if I write `"@RG\tID:..."` in bash, does that become a literal backslash-t? Yes, unless interpreted by shell escape rules (e.g., `$'...'`). In double quotes, `\n`, `\t`, etc. are usually NOT expanded to control characters in standard Bash unless using `printf` or specific flags. Wait, actually Bash *does* interpret `\t` as a tab inside double quotes? No, typically only `\n`, `\r`, `\f` and backslash escapes like `\\`. Actually, checking man bash: "In single-quoted strings... In double-quoted strings..." Backslashes are treated literally except for specific sequences. Wait, actually in Bash double quotes, `\t` is *not* a tab character by default unless using `$'...'` or similar?
    *   Correction: In standard POSIX/Bash, inside `"string"`, backslash escapes like `\\n` become literal characters if not special to the shell. However, many sources say Bash interprets `\n` as newline in double quotes too (historically). But for safety regarding "literal <tab> characters", I should probably use actual tabs or ensure bash doesn't expand it.
    *   Actually, let's look at the constraint again: "`bwa mem -R "@RG\tID:{sample}\tSM:{sample}\tLB:{sample}\tPL:ILLUMINA"`". The prompt explicitly says "The \t must remain the two characters backslash and t — bwa parses them themselves." This implies I should write `\t` in my script, but ensure it doesn't get converted to a real tab by bash before reaching `bwa`.
