Thinking Process:

1.  **Analyze the Request:**
    *   **Goal:** Create a self-contained bash script for per-sample variant calling on mitochondrial amplicon data.
    *   **Inputs:** `data/raw/` (FASTQ files), `data/ref/chrM.fa`.
    *   **Outputs:** `results/{sample}.bam`, `.bai`, `.vcf.gz`, `.tbi`, and a collapsed table (`collapsed.tsv`).
    *   **Constraints:**
        *   First line: `#!/usr/bin/env bash`
        *   Second line: `set -euo pipefail`
        *   Idempotent (skip work if outputs exist).
        *   No hardcoded absolute paths.
        *   Use specific tools (`bwa`, `samtools`, `bcftools`, `tabix`, `lofreq`, etc.).
        *   Specific BWA mem Read Group format: `-R "@RG\tID:{sample}\tSM:{sample}\tLB:{sample}\tPL:ILLUMINA"` (literal `\t` characters).
        *   Total wall-clock < 600s at THREADS=4.
        *   No `echo` for prose, no stderr/stdout beyond tool output.
        *   Output ONLY the script.

2.  **Determine Script Structure:**
    *   Shebang + strict mode.
    *   Define variables (THREADS, samples).
    *   Create results directory if missing.
    *   Reference indexing check & run (`samtools faidx`, `bwa index`).
    *   Loop over samples for alignment, sorting, calling, compressing/indexing VCF.
        *   Check idempotency at each step (e.g., skip if BAM exists).
        *   Specific BWA `-R` string handling is crucial. The prompt says: "literal backslash-t between fields". In bash strings, `\t` usually represents a tab character unless escaped or interpreted differently depending on context. However, the instruction explicitly states: `bwa parses them itself`. It also warns against using mechanisms that turn them into real tabs *before* bwa sees them? Wait, let's re-read carefully: "The \t must remain the two characters backslash and t — bwa rejects real tabs with 'the read group line contained literal <tab> characters'".
        *   Actually, `bwa mem` expects a tab-separated header. If I pass `-R "@RG\tID:...`, bash will interpret `\t` as a tab character in double quotes unless it's escaped or not interpreted by the shell at all? In standard POSIX sh/bash, inside `"..."`, backslash-t is usually *not* expanded to a tab; it remains literal backslash and t. Wait, actually `echo -e` expands it. But here we are using `-R`.
        *   Let's check BWA documentation behavior regarding the Read Group string. Usually, you want actual tabs in that line for SAM format compliance? No, the prompt says: "bwa rejects real tabs with 'the read group line contained literal <tab> characters'". This implies I must pass `\t` literally as two ASCII characters (0x5C 0x74) so bwa interprets them.
